小米,1,小米商城- 小米11、Redmi Note 9、小米MIX Alpha，小米电视 ...,https://www.mi.com/index.html,小米官网直营小米公司旗下所有产品，包括小米手机系列小米11 、小米10 Pro、小米MIX Alpha，Redmi 红米系列Redmi Note 9、Redmi K30，小米电视、 ...,小米 官网 红米 电视 手机
小米,2,小米集團- 维基百科，自由的百科全书,https://zh.wikipedia.org/wiki/%E5%B0%8F%E7%B1%B3%E9%9B%86%E5%9C%98,小米集團（英語：Xiaomi Corporation，簡稱：小米，港交所：1810）是中國一家从事智能硬件和电子产品研发、智能家居生态建设的大型移动互联网企业，成立 ...,小米 智能家居 集團 中國 电子产品
小米,3,小米有品,https://www.xiaomiyoupin.com/,小米有品是小米旗下精品生活电商平台，也是小米“新零售”战略的重要一环。依托小米生态链体系，延续小米的“爆品”模式，致力于将“小米式的性价比”延伸到更广泛 ...,小米 电商 有品 爆品 性价比
小米,4,小米京东自营旗舰店- 京东,https://mi.jd.com/,"小米京东自营旗舰店,提供小米京东自营旗舰店各类正品商品的报价、促销、评论、导购、图片等信息，欢迎您再次光顾小米京东自营旗舰店.",京东 小米 正品 报价 评论
小米,5,小米旗艦館- PChome24h購物 - PChome 線上購物,https://mi.pchomeec.tw/cdn/sites/mi,小米台灣授權的直營網購平台，小米手機、Redmi紅米手機、小米手環、小米盒子、行動電源、掃拖機器人、空氣淨化器...全系列商品，還有不定時商品折扣、刷卡 ...,小米 手機 化器 台灣 網購
小米,6,小米主题商店,https://zhuti.designer.xiaomi.com/,MIUI主题设计师站是帮助小米主题设计师进行个性化创作的平台，这里有便捷高效的主题制作工具和详细的主题制作教程，帮助设计师轻松创建自己的主题。除此之 ...,主题 设计师 教程 小米 个性化
三星,1,三星电子中国| 三星手机| 电视| 笔记本显示器固态硬盘| 冰箱 ...,https://www.samsung.com/cn/,中国三星电子官方网站。让您感受品位生活。在这里您可以找到包括新品Galaxy Galaxy S21 Ultra 5G、Galaxy S21 | S21+ 5G、Galaxy Note 20 | 20 Ultra 5G 在内 ...,新品 官方网站 品位 中国
三星,2,中国三星电子三星网上商城,https://www.samsungeshop.com.cn/,三星手机等产品官方网站.,官方网站 手机 产品
三星,3,三星電子- 维基百科，自由的百科全书,https://zh.wikipedia.org/zh-hans/%E4%B8%89%E6%98%9F%E9%9B%BB%E5%AD%90,三星電子（朝鮮語：삼성전자／三星電子，英語：Samsung Electronics），是三星集團旗下的子公司，韩国最大的消費電子產品及電子元件製造商，亦是全球最大 ...,電子 集團 產品 元件 韩国
三星,4,三星集团- 维基百科，自由的百科全书,https://zh.wikipedia.org/zh-hans/%E4%B8%89%E6%98%9F%E9%9B%86%E5%9B%A2,三星集團（朝鮮語：삼성그룹／三星그룹 Samseong Geurup；英語：Samsung Group）是一家总部設於韩国首尔的国际跨国公司，经营领域涵盖电子、金融业、 ...,集團 跨国公司 金融业 总部 韩国
三星,5,三星京东自营官方旗舰店- 京东,https://mall.jd.com/index-1000003443.html,"三星京东自营官方旗舰店,提供三星京东自营官方旗舰店各类正品商品的报价、促销、评论、导购、图片等信息，欢迎您再次光顾三星京东自营官方旗舰店.",京东 官方 正品 报价 评论
三星,6,【三星手机|三星手机官网|三星手机推荐】-手机中国,https://www.cnmo.com/samsung/,【CNMO视频】作为“超大杯”产品，三星S21 Ultra 5G自然吸引了最多关注的目光。它的影像系统有多强大？双长焦设计究竟给不给力？今天给你答案… 手机 · 单品 ...,双长 单品 视频 答案 目光
三星,7,三星电子的微博_微博 - WEIBO,https://weibo.com/samsungelectronics?refer_flag=1005050010_,多地惊现巨型纸盒？ 真“箱”到底是什么？ 三星电视Unbox & Discover 带你探索一场奇妙开箱之旅快和我们说 ...,开箱 纸盒 电视
雷军,1,雷军- 维基百科，自由的百科全书,https://zh.wikipedia.org/zh-hans/%E9%9B%B7%E5%86%9B,雷军（1969年12月16日－），湖北仙桃人，无党籍，中国大陆企业家、高级软件工程师、天使投资人，小米科技创始人、董事长兼首席执行官，金山软件公司董事 ...,软件 雷军 无党籍 仙桃 小米
雷军,2,雷军的微博_微博 - WEIBO,https://weibo.com/leijun,"雷军，小米创办人，董事长兼CEO；金山软件董事长；天使投资人。。雷军的微博主页、个人资料、相册,武汉大学，金山软件。新浪微博，随时随地分享身边的 ...",雷军 金山 软件 董事长 个人资料
雷军,3,雷军（全国工商联副主席，小米科技创始人、董事长）_百度百科,https://baike.baidu.com/item/%E9%9B%B7%E5%86%9B/1968,雷军，男，汉族，1969年12月16日出生于湖北省仙桃市，无党派，大学学历，理学学士学位，高级工程师。中国大陆著名天使投资人。雷军作为中国互联网代表 ...,雷军 无党派 仙桃市 学历 学士学位
雷军,4,雷军_雷军简介_雷军职业经历_投资界,https://zdb.pedaily.cn/people/show4212/,"小米科技有限责任公司雷军,雷军先生是是天使投资人，主要关注移动互联网、电子商务和社交领域。同时担任小米科技创始人董事长兼CEO、金山软件公司董事长 ...",雷军 小米 董事长 科技 社交
雷军,5,雷军是怎样一个人？ - 知乎,https://www.zhihu.com/question/20615865,2015年12月20日 — 1，雷军是一个非常喜欢喝可乐的人。 雷总微博配图，这杯子里的不会是健怡可乐吧？ 2，雷军是一个非常低调的，接地气的人。 我听说李彦宏，马化腾都是有专门 ...,雷军 李彦宏 雷总微 可乐吧 马化腾
雷军,6,雷军--IT--人民网,http://it.people.com.cn/GB/119390/118341/176282/index.html,雷军，现任金山软件公司董事长，小米科技CEO。曾任金山公司执行董事及董事会副主席，著名天使投资人。2011年7月11日金山软件董事会提名委员会提名雷军出任 ...,雷军 金山 软件 董事会 金山公司
雷军,7,雷军- MBA智库百科,https://wiki.mbalib.com/wiki/%E9%9B%B7%E5%86%9B,雷军——中国大陆著名天使投资人; 为小米科技创始人、董事长兼CEO、 多玩游戏网董事长、金山软件公司董事长*出生日期：1969年12月16日*籍贯：湖北仙桃* ...,董事长 雷军 出生日期 玩游戏 仙桃
雷军,8,雷军_最美奋斗者,http://zmfdz.news.cn/552/index.html,雷军，男，汉族，1969年12月出生，无党派人士，大学学历，湖北仙桃人，小米集团董事长兼首席执行官。全国人大代表、全国工商联副主席。他在科技领域具有 ...,雷军 科技领域 无党派人士 仙桃 小米
雷军,9,自称“一事无成”的雷军是怎么建立小米帝国的？ - 人物- cnBeta ...,https://www.cnbeta.com/articles/tech/1076095.htm,2021年1月11日 — 目前这个阵营中又多了一人，那就是小米公司的创始人雷军。雷军在接受采访时表示自己在四十岁时一无所有，随后表示这番言论并不是“装”，他是 ...,雷军 小米 阵营 言论 创始人
美妆,1,京东美妆,https://beauty.jd.com/,京东JD.COM专业美妆导购平台，专门提供乳液面霜、洁面、爽肤水、精华、眼霜、面膜、套装、香水、彩妆、男士护肤，最新报价、促销、评论、导购、图片等 ...,面霜 彩妆 套装 乳液 护肤
美妆,2,美妆- 知乎,https://www.zhihu.com/topic/19578454,美妆概念运用化妆品和工具，采取合乎规则的步骤和技巧，对人的面部、五官及其他部位进行渲染、描画、整理，增强立体印象，调整形色，掩饰缺陷，表现神采， ...,形色 神采 五官 化妆品 立体
